split,cattle_id,image_path,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,lbp_10,lbp_11,lbp_12,lbp_13,lbp_14,lbp_15,lbp_16,lbp_17,gabor_0,gabor_1,gabor_2,gabor_3,gabor_4,gabor_5,gabor_6,gabor_7,gabor_8,gabor_9,gabor_10,gabor_11,gabor_12,gabor_13,gabor_14,gabor_15,gabor_16,gabor_17,gabor_18,gabor_19,gabor_20,gabor_21,gabor_22,gabor_23,blob_count,blob_mean_r,blob_density,mean_intensity,std_intensity
train,cattle-010,D:\Abhishek\split\train\cattle-010\IMG20230723074754.jpg,0.051598374,0.030592315,0.038524393,0.03904257,0.036910076,0.041035555,0.04805086,0.06325734,0.0790617,0.06666534,0.050362725,0.04444356,0.040696748,0.04075654,0.037109375,0.026865434,0.062699296,0.2023278,60.05461,224.08429,-100.794754,684.09845,5424.5674,2347.7664,135.80331,159.98901,1203.1777,769.978,5681.5225,2443.2444,60.385254,123.3852,-99.20742,435.90552,5425.488,2300.321,135.7096,169.5152,1202.4171,719.7595,5680.8413,2412.0002,686.0,2.6825736,0.013671875,123.26497,66.87127
train,cattle-010,D:\Abhishek\split\train\cattle-010\IMG20230723074755.jpg,0.04207191,0.026387118,0.038006216,0.041394293,0.04151387,0.048090722,0.052933674,0.072205834,0.09376993,0.073142536,0.054966517,0.0482103,0.04181282,0.04163345,0.036013234,0.022799745,0.0495456,0.17550223,62.809364,197.99033,-102.39098,693.1028,5636.3667,2460.1514,141.00826,145.62338,1250.4506,784.10815,5902.6396,2550.2847,62.6672,104.5033,-103.0649,423.15125,5635.998,2401.7583,140.86469,146.1956,1249.354,740.495,5901.6455,2527.2083,602.0,2.824316,0.011997768,128.1304,67.95549
train,cattle-010,D:\Abhishek\split\train\cattle-010\IMG20230723074759.jpg,0.047592476,0.034378987,0.03770727,0.038325097,0.037488043,0.041035555,0.045818716,0.06389509,0.08296795,0.0689772,0.051399074,0.0470743,0.04300861,0.040019132,0.03768734,0.025749363,0.05359136,0.20328444,61.11472,225.67798,-100.592415,688.6761,5492.2036,2354.1868,137.37744,156.08669,1217.8682,749.6575,5751.505,2437.6726,60.98863,104.04791,-100.51201,410.29022,5492.3164,2307.1914,137.37238,156.78996,1217.8691,733.76685,5751.477,2432.4438,656.0,2.7494707,0.01307398,124.8297,66.57041
train,cattle-010,D:\Abhishek\split\train\cattle-010\IMG20230723074801.jpg,0.044005103,0.03250558,0.038066007,0.0377272,0.03649155,0.04334742,0.05098055,0.0716478,0.086615115,0.06943559,0.051638234,0.044583067,0.041912466,0.04292889,0.03633211,0.027802136,0.046177454,0.19780374,63.50582,204.47432,-103.71107,649.1318,5697.866,2349.923,142.50134,143.53946,1263.7285,729.489,5966.806,2428.2986,63.437614,86.870544,-104.205475,364.27063,5697.597,2287.443,142.44968,137.29602,1263.2948,689.3228,5966.426,2410.409,609.0,2.8110108,0.012137277,129.52544,64.8375
train,cattle-011,D:\Abhishek\split\train\cattle-011\IMG20230723074810.jpg,0.034737725,0.023098692,0.036810428,0.03882334,0.039799903,0.044702645,0.055225607,0.08464206,0.12015705,0.09289302,0.060327645,0.051478796,0.044005103,0.04015864,0.031529017,0.018395249,0.039740115,0.14347497,62.41071,185.7563,-102.31814,666.5678,5610.6104,2424.8862,140.3151,140.2913,1244.1511,755.4001,5875.2744,2501.8481,62.433334,70.37741,-102.69896,363.5763,5610.366,2358.3308,140.31418,125.95882,1244.1277,719.2637,5875.2695,2490.5808,530.0,2.8958023,0.0105628185,127.53189,66.058426
train,cattle-012,D:\Abhishek\split\train\cattle-012\IMG20230723075023_01.jpg,0.039700255,0.030851403,0.03796636,0.035933513,0.03607302,0.042311065,0.051518653,0.07344148,0.1019611,0.0823302,0.056261957,0.050681602,0.042689733,0.041992188,0.031867824,0.021464445,0.051518653,0.17143655,54.99997,200.55003,-90.808556,675.9286,4959.2305,2381.848,124.07621,151.48582,1100.2369,761.30725,5193.7817,2461.536,55.29958,89.18128,-90.17916,410.69055,4959.5396,2326.4524,123.972275,144.12709,1099.3419,747.2986,5193.0625,2457.0422,593.0,2.8323026,0.0118184,112.7319,66.56402
train,cattle-013,D:\Abhishek\split\train\cattle-013\IMG20230723075032.jpg,0.042390786,0.029316805,0.035794005,0.037149236,0.03641183,0.04280931,0.0531529,0.07063138,0.094387755,0.07856346,0.05986926,0.051279496,0.043945312,0.039939415,0.031349648,0.021285076,0.04705437,0.18466996,60.609364,166.8097,-100.400314,602.8491,5470.2153,2409.236,136.79454,138.49239,1212.4406,714.987,5728.016,2477.1077,60.708073,111.25134,-100.27047,436.13815,5470.3027,2360.6138,136.91974,151.06238,1213.4873,757.2462,5728.931,2501.5457,561.0,2.8558416,0.011180644,124.30726,66.34756
train,cattle-013,D:\Abhishek\split\train\cattle-013\IMG20230723075033_01.jpg,0.03890306,0.025868941,0.03790657,0.041115273,0.039182078,0.04813058,0.05323262,0.07122927,0.09673948,0.078364156,0.056740273,0.04948581,0.045459982,0.040995695,0.034438774,0.0207669,0.04725367,0.17418686,65.185585,173.01129,-108.74671,639.23566,5883.935,2591.7417,147.31068,157.6768,1305.3861,792.14404,6162.6577,2669.3823,65.52907,128.03653,-107.6235,513.8079,5884.5527,2555.9138,147.13622,162.42465,1303.9753,837.07697,6161.4233,2707.2095,608.0,2.9089653,0.012117347,133.7151,71.96311
train,cattle-015,D:\Abhishek\split\train\cattle-015\IMG20230723075056.jpg,0.04964525,0.028300382,0.03928173,0.042211417,0.040995695,0.04544005,0.05058195,0.06411432,0.07780612,0.06678492,0.051598374,0.0482103,0.04557956,0.04272959,0.03649155,0.023955677,0.052515145,0.19375797,63.323746,194.02945,-104.65683,679.5146,5690.78,2174.979,142.35593,168.45262,1261.5698,754.7187,5959.294,2245.02,63.282635,123.285324,-104.759605,499.20084,5690.7485,2111.3557,142.40349,185.21379,1261.9319,764.19836,5959.5938,2233.68,706.0,2.6508994,0.014070472,129.32501,64.85904
train,cattle-016,D:\Abhishek\split\train\cattle-016\IMG20230723080305_01.jpg,0.028200733,0.018494898,0.034857303,0.0401985,0.04163345,0.049924266,0.062021684,0.09161751,0.11766582,0.08810985,0.0598294,0.052574936,0.043845665,0.039500955,0.031768177,0.019969707,0.03922194,0.14056522,69.81866,173.86208,-114.40409,673.9334,6286.0483,2758.6333,157.14317,162.0031,1393.4572,869.92,6582.0767,2873.275,69.879486,74.13095,-115.19427,417.59375,6285.5693,2712.189,157.25412,133.69525,1394.3489,809.06494,6582.8374,2846.944,517.0,3.0814538,0.010303731,142.86806,73.79879
train,cattle-016,D:\Abhishek\split\train\cattle-016\IMG20230723080309_01.jpg,0.03798629,0.021902902,0.037109375,0.039481025,0.038942922,0.047313455,0.056819994,0.08195153,0.1011639,0.07716837,0.057716835,0.052415498,0.04711416,0.044602998,0.03398039,0.0194316,0.043247767,0.16165099,70.34878,155.66142,-116.37995,669.9826,6317.64,2771.3887,158.012,178.31078,1400.5571,921.1141,6615.8716,2895.8071,70.47117,118.08294,-115.64645,520.8465,6318.0586,2733.1716,158.0678,176.99522,1401.1132,873.43677,6616.34,2867.8457,622.0,2.927047,0.0123963645,143.60135,76.09165
train,cattle-017,D:\Abhishek\split\train\cattle-017\IMG20230723080315.jpg,0.04960539,0.030791614,0.038703762,0.03910236,0.035833865,0.04316805,0.048728477,0.06459264,0.07848374,0.06989397,0.053093113,0.04924665,0.04207191,0.04057717,0.03378109,0.024573501,0.051817603,0.2059351,65.02623,183.58585,-106.424484,586.02026,5840.5254,2256.3164,145.99289,178.32735,1294.496,754.67755,6115.4644,2352.7754,64.99981,113.64836,-107.260925,436.23383,5840.0625,2215.7493,146.1314,165.66547,1295.6055,710.8691,6116.4297,2321.9666,630.0,2.8764095,0.012555803,132.74709,64.50512
train,cattle-018,D:\Abhishek\split\train\cattle-018\IMG20230723080354.jpg,0.039819833,0.026725926,0.03607302,0.037228953,0.037507974,0.04430405,0.050462373,0.07437819,0.09165736,0.077028856,0.05604273,0.05062181,0.044842154,0.04029815,0.033940528,0.023278061,0.05492666,0.18086337,69.229996,193.76414,-115.38938,652.92645,6246.7837,2533.0295,156.40111,177.4144,1385.6426,835.7439,6542.434,2626.2957,69.380394,113.68991,-114.905106,473.20087,6247.0854,2474.421,156.2485,158.15582,1384.4103,797.84174,6541.3535,2613.3384,619.0,2.8178606,0.012336575,141.9308,70.73076
train,cattle-018,D:\Abhishek\split\train\cattle-018\IMG20230723080357_01.jpg,0.05705915,0.037248883,0.04159359,0.038026147,0.03386081,0.03774713,0.04432398,0.05317283,0.068419166,0.056720346,0.042629942,0.042012118,0.043466996,0.04280931,0.04043766,0.031349648,0.056620695,0.2325016,63.621025,239.52835,-104.91653,680.87494,5725.223,2254.154,143.18869,183.30804,1269.3754,804.19525,5995.3433,2337.8342,63.8015,133.04329,-104.882484,506.66647,5725.1816,2192.9736,143.21739,199.54655,1269.6171,774.6035,5995.546,2316.525,817.0,2.6295805,0.016282685,130.12502,68.01572
train,cattle-018,D:\Abhishek\split\train\cattle-018\IMG20230723080358.jpg,0.05729831,0.040118784,0.040915977,0.035654496,0.031748246,0.036730707,0.040258292,0.05484694,0.06638632,0.055305324,0.041414224,0.0394611,0.039879624,0.04033801,0.039939415,0.031668525,0.061443716,0.246592,61.395172,223.72961,-101.61067,693.6154,5517.8184,2333.3464,138.16257,180.46028,1224.5228,787.5765,5779.3667,2408.2104,61.39063,135.52956,-101.03457,459.21164,5518.163,2260.1538,137.914,177.96832,1222.4606,751.4461,5777.5996,2391.6313,786.0,2.580805,0.01566486,125.40368,68.356575
train,cattle-018,D:\Abhishek\split\train\cattle-018\IMG20230723080414_01.jpg,0.054029815,0.033342633,0.03912229,0.037109375,0.034458704,0.041772958,0.04569914,0.056780133,0.07306282,0.061104912,0.04819037,0.043905452,0.04127471,0.039421238,0.035574775,0.02871891,0.058474172,0.22795759,63.79922,213.94151,-106.551636,663.9456,5720.8076,2457.488,143.19426,184.21918,1268.9193,797.2989,5992.042,2536.1948,63.686638,144.76596,-104.1875,529.9803,5722.336,2413.958,143.09587,182.38858,1268.1642,807.4206,5991.41,2555.082,728.0,2.687346,0.014508928,130.02786,70.95724
train,cattle-019,D:\Abhishek\split\train\cattle-019\IMG20230723080443.jpg,0.04536033,0.020268654,0.029994419,0.039381377,0.043267697,0.051777743,0.05966996,0.07541454,0.093052454,0.08201132,0.06385523,0.055524554,0.0493463,0.039740115,0.030412946,0.01831553,0.04290896,0.15969786,65.42165,121.26838,-108.066444,418.18,5899.9077,2265.0208,147.59573,92.11733,1308.2744,606.8139,6178.4087,2350.2896,65.48773,73.261055,-108.14075,302.60266,5899.894,2232.0188,147.58755,111.74508,1308.2325,609.4139,6178.354,2343.9004,579.0,2.7615633,0.011539381,134.07285,57.869225
train,cattle-019,D:\Abhishek\split\train\cattle-019\IMG20230723080450.jpg,0.03362165,0.018016582,0.030353157,0.035794005,0.04149394,0.04950574,0.06120456,0.09167729,0.12755102,0.10311703,0.06212133,0.052594867,0.045659278,0.039321586,0.026705995,0.0145288585,0.038544323,0.12818877,69.00371,117.44605,-112.39828,436.0049,6185.39,2374.6726,154.62961,117.66255,1371.4261,649.54614,6476.868,2462.691,68.82907,42.005978,-113.10115,237.85632,6185.0044,2318.0166,154.68243,81.28644,1371.848,591.8487,6477.2744,2437.995,458.0,2.9585006,0.00912787,140.61458,59.2094
train,cattle-020,D:\Abhishek\split\train\cattle-020\IMG20230723080500.jpg,0.042610012,0.023836097,0.03252551,0.040457588,0.042012118,0.049047355,0.05743782,0.07368065,0.090501435,0.084442765,0.0661073,0.05636161,0.05054209,0.040676817,0.030373087,0.017717633,0.041912466,0.15975766,54.018314,119.27192,-89.75193,425.07443,4880.343,1709.4609,122.1533,91.04594,1082.503,505.70804,5111.0703,1766.1003,54.102493,61.309223,-89.45014,256.3805,4880.4995,1667.891,122.07648,90.39062,1081.8193,494.9517,5110.5327,1758.4707,479.0,2.9649768,0.009546396,110.88981,45.75609
train,cattle-020,D:\Abhishek\split\train\cattle-020\IMG20230723080501.jpg,0.034618143,0.023118623,0.032087054,0.03497688,0.04013871,0.050522164,0.060885683,0.08468192,0.10939493,0.09719786,0.068817765,0.057916135,0.047452964,0.039481025,0.027762277,0.015306123,0.03515625,0.1404855,55.318813,127.57136,-95.03025,473.2768,4971.9087,1744.3687,124.67912,88.20217,1102.9572,511.67703,5208.784,1795.2927,55.319298,53.726604,-91.96712,269.50165,4973.896,1692.3124,124.45514,80.33235,1101.1564,488.72375,5207.1846,1780.4651,446.0,2.941786,0.008888712,112.93353,47.00493
train,cattle-022,D:\Abhishek\split\train\cattle-022\IMG20230723080509.jpg,0.06106505,0.036790498,0.038325097,0.037049584,0.036969867,0.0386639,0.042370856,0.04830995,0.055046238,0.05323262,0.044961736,0.04430405,0.042032048,0.039740115,0.03633211,0.03003428,0.06112484,0.25364715,60.740185,145.97148,-99.79819,445.41562,5456.881,1644.6652,136.56882,130.57791,1209.1587,524.5359,5713.4146,1701.6958,60.56569,123.45262,-103.06799,386.52362,5454.9517,1617.7292,136.63306,131.95508,1209.6965,530.3091,5713.89,1701.4689,720.0,2.6096659,0.0143494895,123.947624,48.602356
train,cattle-022,D:\Abhishek\split\train\cattle-022\IMG20230723080510.jpg,0.047532685,0.027403539,0.035714287,0.039839763,0.043726083,0.051977042,0.055345185,0.06349649,0.07417889,0.07057159,0.056401465,0.054328762,0.048529178,0.042649873,0.03380102,0.022181919,0.047532685,0.18478954,60.613735,148.24203,-100.23625,466.17148,5460.2964,1686.0361,136.51134,112.23263,1210.2661,528.6109,5717.6743,1740.2295,60.84175,74.948235,-99.61399,292.29642,5460.585,1644.9685,136.6493,105.13023,1211.396,521.5767,5718.653,1736.9341,594.0,2.7748585,0.011838329,124.11653,47.204693
train,cattle-022,D:\Abhishek\split\train\cattle-022\IMG20230723080521.jpg,0.052834023,0.029237086,0.038105868,0.041035555,0.04179289,0.047154017,0.05223613,0.059052136,0.06740274,0.06335698,0.053132974,0.051339287,0.0472736,0.042191487,0.033442285,0.023577008,0.052853953,0.20398198,66.20003,131.20663,-108.35444,402.20264,5951.5815,1682.1416,148.77838,118.518166,1319.4004,512.78656,6231.949,1742.5809,66.15351,100.66975,-108.51737,311.4334,5951.491,1656.5392,148.8699,119.05017,1320.3035,519.05426,6232.792,1745.2495,647.0,2.7729626,0.012894611,135.28755,47.00631
